category,Place,Description
Points of Interest & Landmarks,"
Tamhini Ghat
", visit is initial monsoon days however it is the same time when it is full of drunk and/or irresponsible riders/ drivers.
,,
Points of Interest & Landmarks,"
Bedse Caves
","The caves can be divided in two parts as  1) Chaityagruha - Place to worship 2) Vihar  - Place to stay for monks Chaityagruha is huge and is facing east, so morning rays beautify the place."
,,
Points of Interest & Landmarks,"
Kanifnath Temple
","Kanifnath temple, situated on a small hill, surrounded by trees all around  is a truly calm place to worship and to find  peace from the hustle bustle of the city, very calm and lovely place, vehicles can travel rig..."
,,
Points of Interest & Landmarks,"
Laxmi Mata Temple
","Laxmi Mata  is the goddess of wealth as in india I think  everybody knows that, This is a very good and clean temple, it;s on main road, as you enter in the temple you will see the positive vibes coming to you."
,,
Points of Interest & Landmarks,"
Needle Hole Point
","Situated at a three hours drive from Pune, there  Panchgani."
,,
Points of Interest & Landmarks,"
Chavand Fort
", offbeat trek. The fort has Saptamatruka
,,
Water Parks,"
Skyjumper Trampoline Park - Pune
",Amazing place for family Lots of activities  for kids and adults Enjoyed a lot with  family Trampoline park is unique experience
,,
Water Parks,"
Sentosa Water Park
",... To boost ourselves... BlueBreeze this was one of my favourite Mocktails and was similar  to that of blue lagoon but was added with  chia seeds which made it more Refreshing Virgin Pinacolada was too Refreshing a...
,,
Water Parks,"
Krushnai Water Park
","The resort/water park is located just off the  road leading to Sinhgad Fort and is easily  accessible by two wheelers, cars and public transport PMT bus (Swaragte to Sinhgad route bus)."
,,
Historic Sites,"
Visapur Fort
", firm at the height of 1084 meters above sea level offering a panoramic view of a wide range of hills covered in a thick blanket of green.  fort climbing on rocks its a thrilling there are lots of ways to reach visapur
,,
Historic Sites,"
Neelkantheshwar
",A small hillside village covered with lots of greenery and a river.at
,,
Historic Sites,"
Tung Fort
","You can see all around from the top .You can see the Pawna lake , Tikona , Lohgad and Visapur forts from the top  .There is a Ganesh temple and a water tank  on top and a Tungi devi temple."
,,
Historic Sites,"
Purandar Fort
",You should approach from Narayanpur only as  from this approach road you can drive up to  the base fort where there is an Army base.
,,
Outdoor Activities,"
Absolute Scuba
","I attended  a one day training session at absolute scuba  and was assisted by Aditya sir, it was an amazing session, his way of teaching is fabulous and very smooth, the learning was quick and Aditya was really kind..."
,,
Outdoor Activities,"
The Western Routes
","So you can call the trip a perfect blend of awesome cotravelers, local cuisine,some  local history , culture with one focal  point( The Lion in this case) with comfortable travel,very comfortable stay and super awes..."
,,
Outdoor Activities,"
The Territory
","So the ones travelling with a view to do photography or videography  or just to enjoy nature, certainly shall have  a great time !!!Overall its amazing experience travelling with ""the territory"" !!! Cheers !!! Rohan"
,,
Outdoor Activities,"
Nirvana Adventures
","... is as basic or luxurious as you can afford, but the beautiful gardens by the lake are for everyone, as are the unforgettable views from the many terraces  a fish in the beautiful lake 3. Enjoy the Fly Nirwana offers to 1.Fly in the sky like a bird.. 2. Swim like"
,,
Outdoor Activities,"
Tamhini Ghat
","Tamini Ghat is famous for the beautiful waterfalls  in monsoon, the nature is amazing and  beautiful as soon as you enter in the tamini ghat you wi;ll start seeing the different waterfalls, small, medium and big."
,,
Outdoor Activities,"
Rajiv Gandhi Zoological Park
",I am an animal lover so tried visiting this zoo..Its an awesome and must visit place.It has lots of varities of animals scattered  in a very large area.Also the zoo have  electric cars for the zoo visit for senior c...
,,
Outdoor Activities,"
Finkick Adventures
","It's a  lot of fun with underwater cycling, a bit of  dancing (if you have a partner), playing cross and zeroes and going through a ring."
,,
Outdoor Activities,"
Gypsy Soul
"," good air, nature and can spend time with each other(I mean humans) ;) You know what, it might the perfect place for digital detox."
,,
Outdoor Activities,"
Bagul Udyan
",Excellent  Sound & Light fountain show is the main  attraction as we found the entire open amphitheater was chock-a-block on Sunday.
,,
Outdoor Activities,"
Raw Adventure Solutions
"," with Vikas, he provides best facilities in available conditions.  and pleasant camping experience!! Very Absolutely amazing management"
,,
Outdoor Activities,"
Oxford Golf & Country Club
",My wife who does not play golf would like to accompany me for the walk on the golf course so that  greens were under maintenance but didn't Some
,,
Outdoor Activities,"
Peshwe Udyan Zoo
"," a variety of Renewable Energy Sources such as Solar, Wind etc."
,,
Outdoor Activities,"
Chondhe Farms
"," family, small children, team building activities as it has everything to cater to everybody's needs. Good activities like rock climbing, zip lining"
